Taxonomic/Functional Group - All Species,
,
All Species Inside area A,
"320 records found, 290 Confirmed",
Probable,Confirmed
Rhincodon typus,*
Alopias pelagicus,
Alopias superciliosus,
Isurus oxyrinchus,
Galeorhinus galeus,*
Carcharhinus altimus,*
Carcharhinus falciformis,*
Carcharhinus leucas,*
Carcharhinus longimanus,
Carcharhinus plumbeus,
Carcharhinus albimarginatus,*
Carcharhinus brachyurus,*
Carcharhinus galapagensis,*
Carcharhinus limbatus,*
Carcharhinus obscurus,*
Galeocerdo cuvier,*
Nasolamia velox,*
Prionace glauca,
Rhizoprionodon longurio,*
Triaenodon obesus,*
Sphyrna tiburo,*
Sphyrna lewini,*
Sphyrna zygaena,
Echinorhinus cookei,*
Narcine entemedor,*
Dasyatis dipterura,*
Dasyatis longus,*
Pteroplatytrygon violacea,*
Aetobatus narinari,*
Manta birostris,*
Mobula tarapacana,*
Mobula japanica,
Anarchias galapagensis,*
Echidna nocturna,*
Echidna nebulosa,*
Enchelycore octaviana,*
Gymnomuraena zebra,*
Gymnothorax castaneus,*
Gymnothorax flavimarginatus,*
Gymnothorax undulatus,*
Gymnothorax pictus,*
Gymnothorax dovii,*
Gymnothorax panamensis,*
Muraena clepsydra,*
Muraena argus,*
Muraena lentiginosa,*
Scuticaria tigrina,*
Uropterygius versutus,*
Uropterygius macrocephalus,*
Ichthyapus selachops,*
Myrichthys pantostigmius,*
Paraletharchus opercularis,*
Ariosoma gilberti,
Heteroconger digueti,*
Paraconger californiensis,*
Paraconger similis,*
Cetengraulis mysticetus,*
Sardinops sagax,*
Synodus lacertinus,
Bregmaceros bathymaster,
Merluccius productus,*
Brotula ordwayi,*
Grammonus diagrammus,*
Antennarius commerson,*
Antennarius sanguineus,*
Antennatus strigatus,*
Chaenomugil proboscideus,*
Mugil curema,*
Mugil setosus,*
Atherinella eriarcha,*
Atherinops affinis,
Cheilopogon pinnatibarbatus californicus,*
Cheilopogon papilio,*
Cheilopogon xenopterus,*
Cheilopogon atrisignis,*
Cheilopogon dorsomacula,
Cheilopogon spilonotopterus,*
Cypselurus callopterus,*
Cypselurus angusticeps,*
Exocoetus monocirrhus,*
Exocoetus volitans,*
Hirundichthys rondeletii,
Hirundichthys speculiger,*
Hirundichthys marginatus,*
Prognichthys tringa,*
Euleptorhamphus viridis,*
Hemiramphus saltator,*
Oxyporhamphus micropterus micropterus,*
Ablennes hians,*
Platybelone argalus pterura,*
Strongylura exilis,*
Tylosurus acus melanotus,*
Tylosurus crocodilus fodiator,*
Tylosurus pacificus,*
Fundulus parvipinnis,
Myripristis clarionensis,*
Myripristis berndti,*
Myripristis leiognathus,*
Neoniphon suborbitalis,*
Plectrypops lima,*
Bryx veleronis,*
Doryrhamphus excisus,*
Syngnathus auliscus,*
Aulostomus chinensis,*
Fistularia corneta,*
Fistularia commersonii,*
Pontinus vaughani,*
Scorpaena mystes,*
Scorpaena histrio,*
Scorpaenodes xyris,*
Bellator loxias,*
Prionotus albirostris,
Alphestes immaculatus,*
Cephalopholis panamensis,*
Cephalopholis colonus,*
Dermatolepis dermatolepis,*
Diplectrum euryplectrum,*
Epinephelus cifuentesi,*
Epinephelus labriformis,*
Epinephelus analogus,*
Epinephelus quinquefasciatus,*
Epinephelus clippertonensis,*
Mycteroperca jordani,*
Pronotogrammus multifasciatus,*
Pseudogramma thaumasia,*
Rypticus nigripinnis,*
Rypticus courtenayi,*
Serranus socorroensis,*
Opistognathus punctatus,*
Opistognathus rosenblatti,*
Opistognathus rhomaleus,*
Cookeolus japonicus,*
Heteropriacanthus cruentatus,*
Priacanthus alalaua,*
Pristigenys serrula,*
Apogon dovii,*
Apogon retrosella,*
Apogon atricaudus,*
Apogon guadalupensis,*
Caulolatilus princeps,*
Caulolatilus affinis,*
Coryphaena hippurus,*
Coryphaena equiselis,*
Echeneis naucrates,*
Phtheirichthys lineatus,*
Remora osteochir,
Remora albescens,*
Remora brachyptera,
Remora remora,*
Remora australis,
Alectis ciliaris,*
Carangoides orthogrammus,*
Carangoides otrynter,*
Caranx caballus,*
Caranx lugubris,*
Caranx sexfasciatus,*
Caranx caninus,*
Caranx melampygus,*
Chloroscombrus orqueta,*
Decapterus muroadsi,*
Decapterus macarellus,*
Elagatis bipinnulata,*
Gnathanodon speciosus,*
Naucrates ductor,*
Selar crumenophthalmus,*
Seriola lalandi,*
Seriola rivoliana,*
Trachinotus stilbe,*
Uraspis helvola,*
Hoplopagrus guentherii,*
Lutjanus argentiventris,*
Lutjanus viridis,*
Lutjanus peru,*
Lobotes pacificus,*
Diapterus brevirostris,*
Anisotremus taeniatus,*
Anisotremus interruptus,*
Calamus brachysomus,*
Pareques species A,*
Mulloidichthys dentatus,*
Pseudupeneus grandisquamis,*
Girella nigricans,*
Kyphosus sectatrix,*
Kyphosus vaigiensis,*
Kyphosus ocyurus,*
Kyphosus elegans,*
Chaetodon humeralis,*
Chaetodon meyeri,*
Forcipiger flavissimus,*
Johnrandallia nigrirostris,*
Prognathodes falcifer,*
Holacanthus passer,*
Holacanthus clarionensis,*
Pomacanthus zonipectus,*
Kuhlia mugil,*
Cirrhitichthys oxycephalus,*
Cirrhitus rivulatus,*
Oxycirrhites typus,*
Abudefduf declivifrons,*
Abudefduf troschelii,*
Azurina hirundo,*
Chromis atrilobata,*
Chromis alta,*
Chromis limbaughi,*
Hypsypops rubicundus,*
Microspathodon dorsalis,*
Microspathodon bairdii,*
Stegastes redemptus,*
Stegastes flavilatus,*
Stegastes rectifraenum,*
Stegastes acapulcoensis,*
Stegastes leucorus,*
Bodianus diplotaenia,*
Halichoeres adustus,*
Halichoeres dispilus,*
Halichoeres melanotis,*
Halichoeres notospilus,*
Halichoeres chierchiae,*
Halichoeres insularis,*
Halichoeres nicholsi,*
Iniistius pavo,*
Novaculichthys taeniourus,*
Stethojulis bandanensis,*
Thalassoma grammaticum,*
Thalassoma lucasanum,*
Thalassoma virens,*
Xyrichtys species B,*
Calotomus carolinus,*
Nicholsina denticulata,*
Scarus compressus,
Scarus rubroviolaceus,*
Scarus perrico,*
Axoclinus multicinctus,*
Enneanectes exsul,*
Dactyloscopus insulatus,*
Gillellus semicinctus,*
Myxodagnus opercularis,*
Entomacrodus chiostictus,*
Hypsoblennius proteus,*
Ophioblennius steindachneri,*
Plagiotremus azaleus,*
Labrisomus xanti,*
Labrisomus socorroensis,*
Labrisomus multiporosus,*
Acanthemblemaria mangognatha,*
Gobiesox aethus,*
Gobiesox adustus,*
Gobiesox canidens,*
Tomicodon absitus,*
Tomicodon zebra,*
Bathygobius ramosus,*
Coryphopterus urospilus,*
Lythrypnus insularis,*
Lythrypnus zebra,*
Lythrypnus pulchellus,*
"Schindleria ""cf praematura""",*
Chaetodipterus zonatus,*
Luvarus imperialis,
Zanclus cornutus,*
Acanthurus triostegus triostegus,*
Acanthurus nigricans,*
Acanthurus xanthopterus,*
Ctenochaetus marginatus,*
Prionurus punctatus,*
Prionurus laticlavius,*
Sphyraena argentea,*
Gempylus serpens,*
Lepidocybium flavobrunneum,
Acanthocybium solandri,*
Auxis rochei eudorax,
Auxis thazard brachydorax,*
Euthynnus affinis,*
Euthynnus lineatus,*
Katsuwonus pelamis,*
Sarda orientalis,*
Sarda chiliensis,*
Scomber australasicus,*
Scomber japonicus,*
Thunnus albacares,*
Thunnus alalunga,*
Thunnus obesus,*
Xiphias gladius,
Istiompax indica,*
Istiophorus platypterus,*
Kajikia audax,*
Makaira nigricans,*
Tetrapturus angustirostris,
Schedophilus haedrichi,
Cubiceps pauciradiatus,
Nomeus gronovii,*
Psenes sio,
Citharichthys gilberti,
Syacium ovale,*
Syacium latifrons,
Bothus leopardinus,*
Bothus mancus,*
Aseraggodes herrei,*
Symphurus atramentatus,*
Balistes polylepis,*
Canthidermis maculata,*
Melichthys vidua,*
Melichthys niger,*
Sufflamen verres,*
Xanthichthys mento,*
Aluterus monoceros,*
Aluterus scriptus,*
Cantherhines dumerilii,*
Lactoria diaphana,*
Ostracion meleagris meleagris,*
Arothron hispidus,*
Arothron meleagris,*
Canthigaster punctatissima,*
Lagocephalus lagocephalus,*
Sphoeroides lobatus,*
Chilomycterus reticulatus,*
Diodon eydouxii,*
Diodon holocanthus,*
Diodon hystrix,*
Mola mola,*
Ranzania laevis,*
