Family,Species Name,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19_ 20,21,22,23_24,25,26_27,28,29,30,31,32_33,34,35,36,LT2,37,LT3,38,LT4,39,LT5,40,41,42,43,44,45,46,47,48,49
,Microlepidotus brevipinnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n
,Pomadasys bayanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,
,Pomadasys branickii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,c,,nuc,,,,,,,,,,,
,Pomadasys macracanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,
,Xenichthys xanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,
Sciaenidae,Odontoscion xanthops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,
,Umbrina dorsalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc
Polynemidae,Polydactylus approximans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,
Mullidae,Mulloidichthys dentatus,,nuc,,c,c,c,c,c,,c,,c,c,c,,c,c,c,c,nuc,c,c,c,c,,,,,,,,,,nuc,,nuc,,c,,,nuc,,,,,c,nuc,
,Mulloidichthys vanicolensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,
Kyphosidae,Kyphosus analogus,c,c,,,,,,,,,,,,,,,,,c,,nuc,,,,,,nuc,nuc,nuc,,,,,nuc,,,,r,,,,,,,nuc,,nuc,
,Kyphosus elegans,,c,,c,c,c,c,c,,c,,c,c,c,c,,c,c,c,c,c,,,,,,c,c,,,,,,c,,,,c,,nuc,nuc,,,c,c,c,c,
,Sectator ocyurus,,c,,r,,,,c,,,,c,,,c,,c,c,c,c,,,,c,,,c,,c,c,,,,c,,nuc,,c,,,,,,c,,,c,
Chaetodontidae,Chaetodon humeralis,r,,,nuc,,c,c,nuc,r,c,,c,nuc,c,,,c,c,c,,nuc,c,c,c,c,,,c,c,c,,nuc,,nuc,,nuc,,nuc,,,c,nuc,,,c,c,,
,Johnrandallia nigrirostris,nuc,nuc,,c,c,c,c,c,c,c,,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,c,,c,,c,,c,,nuc,c,c,,c,c,c,c,
Pomacanthidae,Holacanthus passer,c,nuc,nuc,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,nuc,,c,,c,,c,,nuc,c,c,,c,c,c,c,
,Pomacanthus zonipectus,,,,,,,,nuc,,,,nuc,,nuc,nuc,,nuc,,nuc,,,nuc,r,r,,,,nuc,r,r,nuc,,,nuc,,nuc,,,,r,,,,,nuc,,nuc,
Cirrhitidae,Cirrhitichthys oxycephalus,c,c,,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,a,c,c,a,a,a,a,a,a,,c,,a,,c,nuc,c,a,a,,a,a,c,a,
,Cirrhitus rivulatus,nuc,nuc,,nuc,c,c,c,c,,c,,c,c,c,c,,,c,,c,nuc,,,r,,,c,c,nuc,nuc,,nuc,,nuc,,r,,nuc,,,nuc,nuc,,c,c,nuc,c,
,Oxycirrhites typus,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,nuc,,,r,,,,,,,,,,,,,,,,,,
Mugilidae,Agonostomus monticola,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mugil curema,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,c,,,,,,,,,,,nuc
Pomacentridae,Abudefduf concolor,,,c,,,,,c,,c,,,,,,,,nuc,,,,,,,,,,,,,,,c,,,,,,c,,,,,,,,,
,Abudefduf troschelii,c,c,c,c,c,c,c,c,c,c,,c,c,c,c,,,c,c,,c,c,c,c,,,c,c,,c,,c,,c,c,c,nuc,c,c,,c,,,,c,c,c,
,Chromis atrilobata,c,c,,c,a,c,a,c,c,c,,a,a,a,c,c,c,a,a,a,a,a,a,a,c,c,a,a,a,a,a,a,,c,,a,,a,,c,a,a,,a,a,c,a,
,Microspathodon bairdii,c,,,,,nuc,c,nuc,,c,,,,,r,,,nuc,,,,,,nuc,,,,nuc,,,,,,,,,,,,,,,,,,,nuc,
,Microspathodon dorsalis,c,nuc,,c,c,nuc,c,c,,c,,c,c,c,c,c,,c,c,c,c,,,,,,c,c,c,c,,nuc,,c,,,,c,,,c,nuc,,c,,c,c,
,Stegastes acapulcoensis,c,nuc,c,c,nuc,c,c,c,c,c,,c,c,c,c,c,c,c,c,,c,c,c,c,c,c,r,c,c,c,,c,,c,,c,nuc,c,c,,,,,,r,c,r,
,Stegastes flavilatus,c,c,c,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,c,,c,nuc,c,c,c,c,c,,c,c,c,c,r
Labridae,Bodianus diplotaenia,c,nuc,,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,c,c,c,c,c,c,,c,,c,,c,,c,c,c,,c,c,c,c,
,Halichoeres aestuaricola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,
,Halichoeres chierchiae,c,c,,c,,c,c,c,c,c,,c,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,,c,,c,,c,,c,,c,c,c,,nuc,c,c,c,
,Halichoeres dispilus,,nuc,,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,,c,,a,,,,c,nuc,c,,nuc,c,c,c,
,Halichoeres melanotis,nuc,,,c,c,c,c,c,c,c,,c,,c,c,,,c,c,,c,c,c,c,c,,,c,,,,,,c,,c,,,,,,,,,,,c,
,Halichoeres nicholsi,,nuc,,c,,c,c,c,,c,,c,nuc,c,nuc,,,c,,,c,c,nuc,nuc,,,uc,c,nuc,nuc,,nuc,,nuc,,nuc,,nuc,,nuc,nuc,nuc,,,,c,nuc,
,Halichoeres notospilus,nuc,nuc,,c,,c,c,c,,,,c,nuc,c,,,,c,c,,,,,,,,,c,,,,,r,,,,c,,r,,,,,,nuc,c,nuc,
,Iniistius pavo,,,,,,,nuc,,,,,nuc,,nuc,,,,nuc,nuc,,nuc,,,,,,,c,,,,,,,,,,,,,,,,,,,nuc,
,Novaculichthys taeniourus,,,,,r,c,c,nuc,,nuc,,r,,nuc,r,,,nuc,c,,c,c,nuc,c,c,,,c,,,,nuc,,nuc,,,,r,,,,r,,,,,c,
,Thalassoma grammaticum,,,,c,,,,,,,,,,r,,,,,,,,,nuc,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassoma lucasanum,a,c,c,c,a,c,c,c,c,c,,a,a,a,a,c,c,c,c,a,a,a,a,a,a,a,a,a,a,a,c,a,,a,,a,nuc,a,c,c,a,a,,a,a,a,a,
,Xyrichtys perlas,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaridae,Scarus compressus,,nuc,,c,,,,r,,,,,,,r,,,,nuc,,,,,r,,,r,nuc,,,,,,,,,,,,,,,,,,,nuc,
,Scarus ghobban,,,,c,nuc,c,c,c,c,c,,c,nuc,,,c,nuc,c,c,,nuc,c,c,c,c,c,nuc,c,nuc,,,,,c,,c,,,,nuc,nuc,,,c,c,,c,
,Scarus perrico,,c,,c,,,,c,c,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,r,,,,,,r,
,Scarus rubroviolaceus,c,c,,c,c,c,c,c,c,c,,c,c,c,c,,c,c,c,nuc,c,c,c,c,c,c,c,c,c,c,,c,,c,,c,,nuc,,c,c,c,,c,c,c,c,
Tripterygiidae,Axoclinus lucillae,c,,,c,c,c,c,c,c,c,,c,c,c,c,,,c,nuc,nuc,nuc,nuc,nuc,c,c,,c,c,nuc,nuc,,c,,,,,,,,,c,c,,nuc,,c,c,
,Enneanectes carminalis,,,,,,r,,,,,,,nuc,,,,,,,,nuc,,,,,,,,,,nuc,,,,,,,,,,,,,,,nuc,,
,Lepidonectes clarkhubbsi,,,,,nuc,,c,,c,c,,c,nuc,,c,,,c,,,,,,c,c,,nuc,c,c,c,,c,,c,,,,,,,,c,,r,,,nuc,
Labrisomidae,Dialommus macrocephalus,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,
,Labrisomus multiporosus,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malacoctenus ebisui,c,c,c,c,c,c,c,c,c,c,,c,c,c,c,,c,c,nuc,nuc,c,c,r,,c,,c,c,nuc,nuc,,c,,nuc,,,,nuc,,nuc,c,c,,c,c,,,c
,Malacoctenus margaritae,,,,,,,,,,,,,,,,,,,,,nuc,,,nuc,,,c,c,c,c,c,,,c,,,,,r,,,,,,,c,c,
,Malacoctenus tetranemus,,,,,,r,c,,,,,,c,,nuc,,,,,,,nuc,,,,,,,,,c,r,,,,,,,,,,r,,nuc,nuc,,,
,Malacoctenus zonifer,nuc,,c,,,nuc,c,c,,,,c,c,,c,,,,,,c,,,,,,,,,,,nuc,,,r,,,,c,,,nuc,,,,nuc,c,
,Paraclinus mexicanus,,,nuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,nuc,,,,,,,nuc,,
,Paraclinus monophthalmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
,Starksia fulva,,,,,,c,,,c,c,,,nuc,,r,c,r,,,,nuc,nuc,nuc,,c,c,,c,,,c,,,nuc,,nuc,,,,,r,,,,,,,
Chaenopsidae,Acanthemblemaria exilispinus,,,,,nuc,c,,c,c,c,,c,c,c,nuc,,,c,c,nuc,c,c,c,c,c,,c,c,c,c,c,c,,c,,c,,nuc,,r,c,c,,,,c,c,
,Acanthemblemaria hancocki,c,c,,c,c,c,c,c,c,c,,c,c,c,c,,c,c,c,c,c,c,c,c,c,,c,c,c,c,r,c,,c,,r,,nuc,,,c,,,c,c,c,c,
,Chaenopsis species A,,,,,,,,,,,,,,,,,,,,,nuc,nuc,nuc,,,,,,,,,,,,,,,,,,,,,,,,,
,Coralliozetus springeri,,,,,,,c,,,,,,,,,,,,,nuc,nuc,,,,,,,,,,,,,,,,,,,,,,,,,,c,
,Ekemblemaria myersi,,r,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,nuc,,
,Emblemaria piratica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,,,,,
,Mccoskerichthys sandae,,,,,c,,,c,c,,,c,c,c,c,,nuc,c,,,c,,,c,c,,c,,c,c,,c,,c,,,,c,,c,c,c,,,,,c,
,Protemblemaria bicirris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,,,,,
Dactyloscopidae,Dactyloscopus byersi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,
,Dactyloscopus metoecus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dactyloscopus minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?c,,
,Dactyloscopus pectoralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gillellus semicinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heteristius cinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,r,,,,,
,Myxodagnus opercularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Platygillellus altivelis,,,,,,,,,r,,,,r,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,
,Platygillellus bussingi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,
Blenniidae,Entomacrodus chiostictus,,,,,,,nuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypsoblennius brevipinnis,nuc,,,c,c,,c,c,,,,c,,c,c,,,c,,,,,,,,,nuc,nuc,,,,,,,,,,,,,,,,nuc,,,,
,Hypsoblennius striatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?nuc,,,,,,,,,,,,,
,Ophioblennius steindachneri,c,c,c,c,c,c,c,c,c,,,c,c,c,c,,c,c,c,c,c,c,nuc,c,c,,c,c,c,c,c,c,,c,,nuc,,nuc,c,,r,r,,,,nuc,c,
,Plagiotremus azaleus,c,,,,,,c,,,c,,c,,c,,,,,,c,c,,,c,,,c,c,c,c,nuc,,,,,,,,,,,,,,,,c,
Eleotridae,Dormitator latifrons,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eleotris picta,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,r,,,,,,,,,,,,,
,Erotelis armiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,c,,,,,,,,,,,
Gobiidae,Bathygobius andrei,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,c,,,,,,,,,,,
,Bathygobius ramosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,nuc,,,,,,,,,
,Coryphopterus urospilus,,,,nuc,,,c,c,c,c,,c,,c,,c,c,,c,c,c,c,c,c,c,,c,c,c,c,c,c,,c,,c,,nuc,,nuc,c,c,,,c,c,c,
,Elacatinus inornatus,,,,,c,nuc,nuc,,nuc,c,,nuc,nuc,nuc,nuc,,,c,c,,nuc,nuc,,nuc,c,,nuc,nuc,r,r,r,,,r,,,,,,r,r,,,,,r,nuc,
,Elacatinus punticulatus,,,,,c,nuc,,,c,,,c,c,c,c,,c,c,c,c,c,,,c,c,,c,c,c,c,,c,,a,,nuc,,nuc,,nuc,c,nuc,,nuc,nuc,,c,
,Evorthodus minutus,,,nuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gobionellus microdon,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gobiosoma paradoxum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,r,,,,,,,,,,,
,Gobulus hancocki,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,
,Lythrypnus rhizophora,,,,,?,,,,,,,nuc,,,,,,c,,,,r,,c,,,nuc,,,nuc,,,,,,,,,,,,,,,,,,
,Microgobius crocatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,nuc,,,,,,,,,,,
Microdesmidae,Cerdale ionthas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?r,,nuc,,c,,,,,,,,,,,
,Clarkichthys bilineatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,
,Microdesmus dorsipunctatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?r,,,,,,,,,,,,,,,
,Ptereleotris carinata,,,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,,,,,,,,,,,,,,,,
Ephippididae,Chaetodipterus zonatus,,,,,c,,,,,,,,,,c,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,
Zanclidae,Zanclus cornutus,nuc,,,c,c,,c,c,,,,c,,c,,,,c,c,nuc,nuc,c,c,nuc,c,nuc,c,c,,,,c,,c,,c,,c,,,c,c,,c,c,c,c,
Acanthuridae,Acanthurus nigricans,c,nux,,c,,nuc,,c,,,,c,nuc,c,nuc,,,nuc,r,nuc,nuc,nuc,,nuc,,,,c,nuc,,,nuc,,c,,,,nuc,,r,c,nuc,,nuc,c,nuc,nuc,
,Acanthurus triostegus triostegus,r,c,c,c,,,,c,c,c,,c,nuc,c,,,,,,,nuc,,c,,,,,,,,,,,,,,,r,,,,,,,,c,c,
,Acanthurus xanthopterus,c,a,,c,a,c,c,c,c,c,,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,nuc,r,a,nuc,c,r,c,r,,c,nuc,,c,c,c,c,
,Ctenochaetus marginatus,nuc,,c,c,,,,,,,,,,,,,,,nuc,,,,,,,,,,nuc,,,,,,,,,nuc,,,,,,,,,,
,Prionurus laticlavius,c,c,,c,c,c,,c,,,,c,c,c,c,,c,c,c,c,c,c,c,nuc,c,,c,c,c,c,,,,c,,nuc,,c,,,c,,,nuc,nuc,nuc,c,
Sphyraenidae,Sphyraena ensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,
,Sphyraena qenie,,,,,c,,,,,,,,,,,,,,,c,,,,,,,,,,c,,,,,,,,,,,,,,,,,,
Scombridae,Thunnus albacares,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralichthyidae,Citharichthys gilberti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,nuc,,,,,,,,,,,
,Cyclopsetta panamensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,,,
Bothidae,Bothus leopardinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynoglossidae,Symphurus callopterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Symphurus melanurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,nuc,,,,,
,Symphurus undecimplerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,
,Symphurus new species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,
Balistidae,Balistes polylepis,,,,,,,r,,,,,c,,nuc,c,,,,,nuc,nuc,,,,,,c,c,,,,,,,,,,,,,,,,,,,,
,Melichthys niger,c,,,,,,,,,,,,,r,,,,nuc,,,nuc,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,
,Melichthys vidua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pseudobalistes naufragium,nuc,nuc,,nuc,nuc,nuc,nuc,,,,,c,nuc,c,c,,c,c,c,nuc,c,c,nuc,nuc,,,c,c,c,c,,nuc,,c,?r,r,,nuc,,r,nuc,nuc,,nuc,nuc,,,
,Sufflamen verres,c,c,,c,c,c,c,,c,,,c,c,c,c,,c,c,c,a,a,a,a,c,,,a,a,a,a,c,c,,a,,c,,a,,c,c,c,,a,a,c,,
Monacanthidae,Aluterus scriptus,,,,,r,,,r,,,,,,,r,,,,r,,,,,nuc,,,r,,,,,,,,,,,r,,,,,,,,,,
Ostraciidae,Ostracion meleagris meleagris,nuc,,,,nuc,,,r,,,,nuc,,nuc,nuc,c,c,nuc,nuc,,nuc,,,nuc,,,,r,nuc,c,r,nuc,,r,,,,nuc,,,nuc,nuc,,nuc,nuc,nuc,nuc,
Tetraodontidae,Arothron hispidus,nuc,,r,,r,,nuc,nuc,,,,c,,nuc,nuc,c,c,c,c,r,nuc,c,c,c,c,c,c,c,c,c,,nuc,c,c,c,c,c,c,,nuc,nuc,nuc,,nuc,c,nuc,c,
,Arothron meleagris,c,,,,c,c,c,c,,,,c,c,c,c,,,c,c,c,c,c,c,c,c,c,c,c,c,c,,nuc,,c,,nuc,,c,,,c,nuc,,nuc,c,c,r,
,Canthigaster janthinopterus,,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canthigaster punctatissima,c,,,c,c,a,c,a,c,c,,c,c,c,c,c,c,c,a,c,a,a,a,a,a,a,a,a,a,a,a,a,,a,,a,nuc,a,,c,a,a,,a,a,a,a,
,Sphoeroides annulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,,,,,,,,,,,,
,Sphoeroides rosenblatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,,,,,,,,,,,,
Diodontidae,Chilomycterus reticulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,
,Diodon holocanthus,,,,,,,,nuc,nuc,c,,,nuc,,,,,,c,,r,c,c,c,,c,nuc,c,,,r,,,,,r,,nuc,,nuc,,,,,,,c,r
,Diodon hystrix,r,r,,r,c,,nuc,nuc,,,,r,,,r,r,r,r,r,r,r,,,,,,nuc,nuc,r,r,,,,nuc,,r,,nuc,,,,,,r,,,nuc,
