Family/ Species,Common name,Habitat,Unnamed: 1
CLASS CHONDRICHTHYES,,,
ORDER ORECTOLOBIFORMES,,,
Family Hemiscyllidae,Bamboo sharks,Pelagic,
Chiloscyllium indicum (Gmelin),,,
Chiloscyllium griseum Muller and Henle,,,
Family Stegostomatidae,Zebra sharks,Pelagic,
Stegostoma fasciatum (Hermann),,,
Family Rhincodontidae,Whale sharks,Pelagic,
Rhincodon typus Smith,,,
Order Carcharhiniformes,,,
Family Proscylliidae,Finback catsharks,Pelagic,
Eridancis radcliffei Smith,,,
,,Oceanic/Pelagic/semi,
Family Carcharhinidae,Requim sharks,,
,,pelagic/ littoral,
Carcharhinus dussumieri (Valenciennes),,,
Carcharhinus hemiodon (Valenciennes),,,
Carcharhinus leucas (Valenciennes),,,
Carcharhinus melanopterus (Quoy and Gaimard),,,
Carcharhinus limbatus (Valenciennes),,,
Glyphis gangeticus (Muller and Henle),,,
Lamiopsis temmincki (Muller and Henle),,,
Rhizoprionodon acutus (Ruppell),,,
Scoliodon laticaudus (Muller and Henle),,,
,,Semi pelagic and lit-,
Family Sphyrnidae,Hammerhead sharks,,
,,toral,
Eusphyrna blochii (Cuvier),,,
Order Rajiformes,,,
Family Pristidae,Sawfishes,Demersal,
Anoxypristes cuspidata (Latham),,,
Pristis microdon Latham,,,
Pristis pectinata Latham,,,
,,Benthic and semi,
Family Torpedinidae,Electric Rays,,
,,pelagic,
Bengalichthyes impennis Annandale,,,
Narke dipterygia (Schneider),,,
Narcine timlei (Schneider),,,
Narcine brunnea Annandale,,,
Family Rhinobatidae,Guitar fishes,Demersal,
Rhina ancylostoma Schneider,,,
Rhina grannulatus Cuvier,,,
Rhina lionotus Norman,,,
Rhinobatos obtusus Muller and Henle,,,
Rhinobatos annandalei Norman,,,
Rhynchobatus djeddensis (Forsskal),,,
Family Dasyatidae,Sting Rays,Demersal,
Dasyatis microps (Annandale),,,
Himantura bleekeri (Blyth),,,
Himantura fluviatilis (Hamilton-Buchanan),,,
Himantura marginata (Blyth),,,
Dasyatus zugei (Muller and Henle),,,
Himantura imbricata (Schneider),,,
Himantura uarnak (Forsskal),,,
Family Gymnuridae,Butterfly Rays,Demersal,
Aetoplatea tentaculata (Valenciennes),,,
Gymnura (Gymnura) poecilura (Shaw),,,
,,Benthic littoral and,
Family Myliobatidae,Eagle Rays,,
,,semi pelagic,
Aetobatus narinari (Blainville),,,
Aetomylaeus nichofii (Schneider),,,
CLASS: ACTINOPTERYGII,,,
Family Elopidae,Lady fishes,Pelagic,
Elops machnata (Forsskal),,,
Family Megalopidae,Tarpons,Demersal/Pelagic,
Megalops cyprinoides (Broussonet),,,
Family Anguillidae,Freshwater Eels,Demersal,
Anguilla bengalensis bengalensis (Gray),,,
Angilla bicolor bicolor Mc Clelland,,,
Family Moriguidae,Worm Eels,Demersal,
Moringua arundinacea (Mc Clelland),,,
Moringua raitaborua (Hamilton-Buchanan),,,
Family Muraenidae,Moray Eels,Demersal,
Sideria picta (Ahl),,,
Thyrsoidea macrura (Bleeker),,,
Uropterygius tigrinus (Lesson),,,
Echidna nebulosa (Ahl),,,
Echidna zebra (Shaw),,,
Gymnothorax meleagris (Shaw and Nodder),,,
Gynothorax sathete (Hamilton-Buchanan),,,
Gymnothorax tile (Hamilton-Buchanan),,,
Leptocephalus milnei Southwell and Prasad,,,
Leptocephalus vermicularis Southwell and Prasad,,,
Family Muraenesocidae,Pike Congers,Demersal,
Congresox talabon (Cuvier),,,
Congresox talabonoides (Bleeker),,,
Muraenesox bagio (Hamilton-Buchanan),,,
Muraenesox cinerius (Forsskal),,,
Family Ophichthidae,Snake Eels,Demersal,
Neenchelys buitendijki Weber and de Beaufort,,,
Pisodonophis boro (Hamilton-Buchanan),,,
Lamnostoma orientalis (McClelland),,,
Order Clupeiformes,,,
,"Herrings, Sardines,",,
Family Clupeidae,,Pelagic,
,"Sprats, Gizzard shads",,
Hilsa (Hilsa) kelee (Cuvier),,,
Hilsa (Tenualosa) ilisha (Hamilton-Buchanan),,,
Hilsa (Tenualosa) toli (Valenciennes),,,
Escualosa thoracata (Valenciennes),,,
Herklotsichthys quadrimaculatus (Ruppell),,,
Sardinella brachysoma Bleeker,,,
Sardinella fimbriata (Valenciennes),,,
Sardinella gibbosa (Bleeker),,,
Anodostoma chacunda (Hamilton-Buchanan),,,
Anodostoma thailandiae Wongratana,,,
Nematalosa nasus (Bloch),,,
Corica soborna Hamilton-Buchanan,,,
Family Pristigasteridae,"Tlishas, Pellonas",Pelagic,
Ilisha filigera (Valenciennes),,,
Ilisha kampeni Weber and De Beaufort,,,
Ilisha megaloptera (Swainson),,,
Ilisha melastoma (Schneider),,,
Opisthopterus tardoore (Cuvier),,,
Opisthopterus valenciennesi Bleeker,,,
Pellona ditchela Valenciennes,,,
Raconda russeliana Gray,,,
Family Engraulidae,Anchovies,Pelagic,
Coilia dussumieri Valenciennes,,,
Coilia neglecta Whitehead,,,
Coilia ramcarati Hamilton-Buchanan,,,
Coilia reynaldi Valenciennes,,,
Setipinna brevifilis (Valenciennes),,,
Setipinna phasa (Hamilton-Buchanan),,,
Setipinna taty (Valenciennes),,,
Setipinna tenuifilis Valenciennes,,,
Stolephorus baganensis Hardenberg,,,
Stolephorus commersonii Lacepede,,,
Stolephorus heterolobus (Rupell),,,
Stolephorus indicus (van Hasselt),,,
Thryssa dussumieri (Valenciennes),,,
Thryssa hamiltonii (Gray),,,
Thryssa malabarica (Bloch),,,
Thryssa purava (Hamilton-Buchanan),,,
Family Chirocentridae,Wolf Herring,Pelagic,
Chirocentrus nudus Swainson,,,
ORDER SILURIFORMES,,,
Family Ariidae,Sea catfishes,Demersal,
Arius arius (Hamilton-Buchanan),,,
Arius caelatus Valenciennes,,,
Arius dussumieri Valenciennes,,,
Arius gagora Hamilton-Buchanan,,,
Arius jella Day,,,
Arius maculatus (Thunberg),,,
Arius parvipinnis Day,,,
Arius platystomus Day,,,
Arius sagor (Hamilton-Buchanan),,,
Arius sona (Hamilton-Buchanan),,,
Arius tenuispinnis Day,,,
Arius thalassinus (Ruppell),,,
Batrachocephalus mino (Hamilton-Buchanan),,,
Hemipimelodus jatius (Hamilton-Buchanan),,,
Osteogeniosus militaris (Linnaeus),,,
ORDER AULOPIFORMES,,,
Family Harpadontidae,Bombay Duck,Pelagic,
Harpadon neherius (Hamilton-Buchanan),,,
Family Synodontidae,Lizard fishes,Demersal,
Saurida tumbil (Bloch),,,
ORDER GADIFORMES,,,
Family Bregmacerotidae,Codlets,Demersal,
Bregmaceros macclellandi Thompson,,,
ORDER LOPHIFORMES,,,
Family Antennariidae,Frog fishes,Demersal,
Antennarius hispidus (Bloch and Schneider),,,
ORDER CYPRINODONTIFORMES,,,
Family Hemiramphidae,Halfbeaks,Demersal,
Dermogenys brachynopterus (Bleeker),,,
Hemiramphus far (Forsskal),,,
ORDER SYNGNATHIFORMES,,,
Family Fistulariidae,Cornet fishes,Pelagic,
Fistularia petimba Lacepede,,,
,,Shallow coastal wa-,
Family Syngnathidae,Pipe fishes and Sea horses,,
,,ters and estuaries,
Ichtyocampus carce (Hamilton-Buchanan),,,
ORDER SCORPAENIFORMES,,,
Family Synanceiidae,Minous,Pelagic,
Minous coccineus (Alcock),,,
Trachicephalus uranoscopus (Bloch and Schnei-,,,
der),,,
Family Platycephalidae,Spiny flatheads,Benthic,
Platycephalus indicus (Linnaeus),,,
ORDER PERCIFORMES,,,
Family Ambassidae,Perchlets,Near river mouths,
Ambassis nalua (Hamilton-Buchanan),,,
Ambassis kopsii Bleeker,,,
,"Sea Perches, Sea bass,",Demersal and bottom,
Family Centropomidae,,,
,Barramundi,dwelling,
Lates calcarfer (Bloch),,,
Family Serranidae,Groupers,Pelagic,
Epinephelus malabaricus (Schneider),,,
Epinephelus tauvina (Forsskal),,,
Promicrops lanceolatus (Bloch),,,
Family Teraponidae,Tiger perches,Pelagic,
Terapon jarbua (Forsskal),,,
Terapon puta (Cuvier),,,
Terapon theraps (Cuvier),,,
Family Sillaginidae,Whitings,Sandy shores and,
Sillago sihama (Forsskal),,,
Sillaginopsis panijus (Hamilton-Buchanan),,,
Family Lactaridae,False trevallis,Waters shallower,
Lactarius lactarius (Schneider),,,
Family Rachycentridae,Cobia,Pelagic,
Rachycentron canadum (Linnaeus),,,
Family Carangidae,"Jacks, Scads",Pelagic,
Alectis ciliaris (Bloch),,,
Alectis indicus ((Ruppell),,,
Alepes djedaba (Forsskal),,,
Atropus atropus (Schneider),,,
Atule mate (Cuvier),,,
Carangoides chrysophrys (Cuvier),,,
Carangoides malabaricus (Bloch and Scneider),,,
Caranx carangus (Bloch),,,
Caranx ignobilis (Forsskal),,,
Caranx sexfasciatus Quoy and Gaimard,,,
Decapterus russelli (Ruppell),,,
Elagatis bipinnulata (Quoy and Gaimard),,,
Megalaspis cordyla (Linnaeus),,,
Scomberoides commersonianus Lacepede,,,
Scomberoides lysan (Forsskal),,,
Scomberoides tala (Cuvier),,,
Selar crumenopthalmus (Bloch),,,
Trachynotus blochii (Lacepede),,,
Uraspis uraspis (Gunther),,,
Family Coryphaenidae,Dolphin fish,Pelagic,
Coryphaena hippurus Linnaeus,,,
Family Parastromateidae,Black Pomfret,Deep coastal waters,
Parastromateus niger (Bloch),,,
Family Leiognathidae,Slipmouths,Pelagic,
Gazza minuta (Bloch),,,
Leiognathus blochii (Valenciennes),,,
Leiognathus brevirostris (Valenciennes),,,
Leiognathus daura (Cuvier),,,
Leiognathus dussumieri (Valenciennes),,,
Leiognathus equulus (Forsskal),,,
Leiognathus fasciatus (Lacepede),,,
Leiognathus splendens (Cuvier),,,
Secutor insidiator (Bloch),,,
Secutor ruconius (Hamilton-Buchanan),,,
Family Lutjanidae,Snappers,Deep coastal waters,
Lutjanus argentimaculatus (Forsskal),,,
Lutjanus bengalensis (Bloch),,,
Lutjanus johnii (Bloch),,,
Lutjanus russelli (Bleeker),,,
,,Brackish waters and,
Family Lobotidae,Tripletails,,
,,large river mouths,
Datnioides quadrifasciatus (Sevastianov),,,
Family Gerreidae,Mojarras,Sandy shores,
Gerres (Gerres) oyena (Forsskal),,,
Gerres (Gerres) poieti Cuvier,,,
Gerres (Pertica) filamentosus Cuvier,,,
Gerreomorpha setifer (Hamilton-Buchanan),,,
Family Haemulidae,Grunts,Demersal,
Pomadasys argenteus (Forsskal),,,
Pomadasys argyreus (Valenciennes),,,
Pomadasys furcatus (Schneider),,,
Pomadasys maculatum (Bloch),,,
Family Sparidae,Seabreams,Demersal,
Acanthopagrus berda (Forsskal),,,
Acanthopagrus latus (Houttuyn),,,
Rhabdosargus sarba (Forssal),,,
Family Nemipterydae,Threadfin Breams,Pelagic and Demersal,
Nemipterus bipunctatus (Ehrenberg),,,
Nemipterus japonicus (Bloch),,,
Nemipterus tolu (Valenciennes),,,
Family Sciaenidae,Croakers,Demersal,
Bahaba chaptis (Hamilton-Buchanan),,,
Chrysochir aureus (Richardson),,,
Daysciaena albida (Cuvier),,,
Dendrophysa russelli (Cuvier),,,
Johnius (Blythsciaena) macropterus (Bleeker),,,
Johnius (Johnieops) dussumieri (Cuvier),,,
Johnius (Johnieops) sina (Cuvier),,,
Johnius (Johnieops) vogleri (Bleeker),,,
Johnius (Johnius) belangerti (Cuvier),,,
Johnius (Johnius) carutta Bloch,,,
Johnius (Johnius) coitor (Hamilton-Buchanan),,,
Johnius (Johnius) macrorhynus (Mohan),,,
Nibea maculata (Schneider),,,
Nibea soldado (Lacepede),,,
Macrospinosa cuja (Hamilton-Buchanan),,,
Otolithoides biauritus (Cuvier),,,
Otolithes cavieri Trewavas,,,
Otolithes ruber (Schneider),,,
Pama pama (Hamilton-Buchanan),,,
Panna microdon (Bleeker),,,
Panna heterolepis Trewavas,,,
Pennahia macrocephalus (Tang),,,
Pennahia macrophthalmus (Bleeker),,,
Protonibea diacanthus (Lacepede),,,
Pterotolithus maculatus (Kuhl and van Hasselt),,,
Family Mullidae,Goat fishes,Benthic predator,
Parupeneus indicus (Shaw),,,
Upeneus vittatus (Forsskal),,,
Family Toxotidae,Archer fishes,Demersal,
Toxotes chatareus (Hamilton-Buchanan),,,
,,Pelagic and often,
Family Ephippididae,Space-fishes,,
,,enters estuaries,
Depane longimana (Bloch and Schneider),,,
Drepane punctata (Linnaeus),,,
Ephippus orbis (Bloch),,,
Platax pinnatus (Linnaeus),,,
,,Shallow brackish,
Family Scatophagidae,Scats,,
,,waters,
Scatophagus argus (Bloch),,,
,,Coastal waters and,
Family Mugilidae,Mullets,,
,,estuaries,
Liza macrolepis (Smith),,,
Liza parsia (Hamilton-Buchanan),,,
Liza subviridis (Valenciennes),,,
Liza tade (Forsskal),,,
Liza vaigiensis (Quoy and Gaimard),,,
Mugil cephalus Linnaeus,,,
Rhinomugil corsula (Hamilton-Buchanan),,,
Valamugil buchanani ((Bleeker),,,
Valamugil cunnesius (Valenciennes),,,
Valamugil seheli (Forsskal),,,
Valamugil spigleri (Bleeker),,,
,,Mostly occurring in,
Family Sphyraenidae,Barracudas,"coastal waters, from",
,,the surface to about,
,,100m depth,
Sphyraena jello Cuvier,,,
Sphyraena obtusata Cuvier,,,
Family Polynemidae,Threadfins,ona ene,
Polynemus paradiseus Linnaeus,,,
Eleotheronema tetradactylum (Shaw),,,
Polydactylus indicus (Shaw),,,
Polydactylus plebeius (Broussonet),,,
Polydactylus sextarius (Bloch),,,
Polynemus paradiseus Linnaeus,,,
Polynemus longipectoralis Weber and de Beaufort,,,
Family Uranoscopidae,Stargazers,m cmersay typically,
Uranoscopus cognatus Cantor,,,
Family Callionymidae,Dragonets,Benthic,
Callionymus carebares Alcock,,,
Callionymus fluviatilis Day,,,
Callionymus recurvispinnis Li,,,
Callionymus sagitta Pallas,,,
Eleutherochir opercularis (Vallenciennes),,,
,,Primarily in shallow,
,,"marine habitats, and",
Family Blennidae,Blennies,are especially com-,
,,mon in the intertidal,
,,and subtidal zones.,
Petroscirtes breviceps Valenciennes,,,
Petroscirtes variabilis Cantor,,,
,,Brackish waters and,
Family Eleotridae,Sleepers,estuaries,
Eleotris fusca (Bloch and Schneider),,,
Eleotris melanosoma Bleeker,,,
Eleotris lutea Day,,,
Butis butis (Hamilton — Buchanan),,,
Butis melanostigma (Bleeker),,,
Ophiocara porocephala (Valenciennes),,,
Ophieleotris aporos (Bleeker),,,
Odonteleotries macrodon (Bleeker),,,
,,"Mostly marine, bot-",
Family Gobiidae,Gobies,ha biting beckish,
,,or fresh waters,
Odontamblyopus rubicundus (Hamilton- Bu-,,,
chanan),,,
Taenioides buchanani (Day),,,
Taenioides anguillaris (Linnaeus),,,
Taenioides cirratus (Blyth),,,
Taenioides erruptionis (Bleeker),,,
Caragobius urolepis (Bleeker),,,
Pseudotrypauchen multiradiatus Hardenberg,,,
Trypauchen vagina (Bloch and Schneider),,,
Amblyotrypauchen arctocephalus (Alcock),,,
Ctenotrypauchen microcephalus (Bleeker),,,
Trypauchenichthys sumatrensis Hardenberg,,,
Trypauchenichthys typus Bleeker,,,
Apocryptes bato (Hamilton — Buchanan),,,
Apocryptodon madurensis (Bleeker),,,
Oxuderces dentatus Eydoux and Souleyet,,,
Pseudapocryptes elongatus (Cuvier),,,
Pseudapocryptes borneensis (Bleeker),,,
Parapocryptes serperaster (Richardson),,,
Boleophthalmus boddarti (Pallas),,,
Boleophthalmus dussumieri Valenciennes,,,
Scartelaos histophorus (Valenciennes),,,
Periophthalmus chrysospilos Bleeker,,,
Periophthalmus koelreuteri (Pallas),,,
Periophthalmus malaccensis Eggert,,,
Periophthalmus pearsei Eggert,,,
Periophthalmus vulgaris Eggert,,,
Periophthalmus novemradiatus (Hamilton-Bu-,,,
chanan),,,
Periophthalmus kalolo Lesson,,,
Periophthalmodon schlosseri (Pallas),,,
Periophthalmodon septemradiatus,,,
( Hamilton — Buchanan),,,
Gobiopterus chuno (Hamilton — Buchanan),,,
Stigmatogobius sadanundio (Hamilton,,,— Bu-
chanan),,,
Bathygobius fuscus (Ruppell),,,
Gnatholepis cauerensis (Bleeker),,,
Acentrogobius viridipunctatus (Valenciennes),,,
Drombus globiceps (Hora),,,
Istiogobius ornatus (Ruppell),,,
Glossogobius giuris (Hamilton — Buchanan),,,
Parachaeturichthys polynema (Bleeker),,,
Hemigobius hoevenii (Bleeker),,,
Gobiopsis macrostoma Steindachner,,,
Brachygobius nunus (Hamilton — Buchanan),,,
Amblyeleotris gymnocephala (Bleeker),,,
Oligolepis scutipennis (Valenciennes),,,
Awaouichthys menoni Chatterjee,,,
Family Kurtidae,Humpheads,Shallow coastal wa-,
,,ters,
Kurtus indicus Bloch,,,
,,Shallow coastal,
Family Siganidae,Rabbit fishes,"waters, including",
,,estuaries,
Siganus canaliculatus (Park),,,
Siganus javus (Linnaeus),,,
,,Coastal waters to,
Family Trichiuridae,Ribbon fishes,,
,,about 100m depth,
Eupleurogrammus glossodon (Bleeker),,,
Eupleurogrammus muticus (Gray),,,
Lepturacanthus pantului (Gupta),,,
Lepturacanthus savala (Cuvier),,,
Trichiurus gangetcus (Gupta),,,
Trichiurus lepturus Linnaeus,,,
Family Scombridae,Mackerals,Epipelagic,
Rastrelliger kanagurta (Cuvier),,,
Scomberomorus commerson (Lacepede),,,
Scomberomorus guttattus (Bloch and Schneider),,,
Family Stromateidae,Silvery pomfrets,Pelagic,
Pampus argenteus (Euphrasen),,,
Pampus chinensis (Euphrasen),,,
ORDER PLEURONECTIFORMES,,,
Family Psettodidae,Indian Halibuts,Demersal,
Psettodes erumei (Schneider),,,
Family Citharidae,Flouders,Demersal,
Brachypleura novae-zeelandiae Gunther,,,
Family Bothidae,Lefteye Flounders,Demersal,
Pseudorhombus arius (Hamilton-Buchanan),,,
Pseudorhombus elevatus Ogilby,,,
Pseudorhombus javanicus (Bleeker),,,
Pseudorhombus malayanus Bleeker,,,
Pseudorhombus triocellatus (Bloch),,,
Family Cynoglossidae,Tonguesoles,Demersal,
Cynoglossus arel (Schneider),,,
Cynoglossus cynoglossus (Hamilton-Buchanan),,,
Cynoglossus lida (Bleeker),,,
Cynoglossus lingua Hamilton-Buchanan,,,
Cynoglossus macrostomus Norman,,,
Cynoglossus puncticeps (Richardson),,,
Cynoglossus semifasciatus Day,,,
Paraplagusia bilineata (Bloch),,,
Symphurus gilesii (Alcock),,,
Family Soleidae,Soles,Demersal,
Euryglossa pan (Hamilton-Buchanan),,,
Hetermycteris oculus (Alcock),,,
Synaptura albomaculata Kaup,,,
Synaptura commersoniana (Lacepede),,,
Zebrias altipinnis (Alcock),,,
Zebrias quagga (Kaup),,,
ORDER TETRADONTIFORMES,,,
Family Triacanthidae,Triplespines,Benthic,
Pseudotriacanthus strigilifer (Cantor),,,
Triacanthus biaculeatus (Bloch),,,
Triaxyphichthys weberi (Chaudhuri),,,
,,relatively shallow,
Family Balistidae,Trigger fishes,"coastal habitats,",
,,some are pelagic,
Canthidermis rotundatus (Proce),,,
Family Ostraciidae,Box fishes,Benthic,
Rhynchostracion nasus (Bloch),,,
Family Tetraodontidae,Puffers,Estuaries and fresh-,
Arothrodon immaculatus (Bloch and Schneider),,,
Arothrodon nigropunctatus (bloch and Schneider),,,
Arothrodon stellatus (Bloch and Schneider),,,
Chelonodon fluviatilis (Hamilton-Buchanan),,,
Chelonodon patoca (Hamilton-Buchanan),,,
Fugu oblongus (Bloch),,,
Kanduka michiej Hora,,,
Lagocephalus inermis (Temminck and Schlegel),,,
Lagocephalus lunaris (Bloch and Schneider),,,
Lagocephalus sceleratus (Gmelin),,,
Tetraodon cutcutia (Hamilton-Buchanan),,,
