Group,,Scientific Name,English Name
,383,Neoglyphidodon nigroris,Black-and-gold chromis
,384,Neoglyphidodon oxyodon,Bluestreak damselfish; Blue-streak damsel; Bluebanded damselfish; Bluevelvet damselfish; Java damsel; Javanese damsel; Javanese damselfish
,385,Neoglyphidodon thoracotaeniatus,Barhead damsel; Bar-cheek damsel; Western barhead damselfish
,386,Neoniphon argenteus,Clearfin squirrelfish; Silver Squirrelfish; Blackfin Squirrelfish; Smooth Squirrelfish
,387,Neoniphon opercularis,Blackfin squirrelfish; Mouth-fin Squirrelfish; Clearfin Squirrelfish
,388,Neoniphon sammara,"Sammara squirrelfish; Spot-fin Squirrelfish; Javelin Squirrel-fish, Armed Squirrel-fish; Blood-spot Squirrelfish"
,389,Neopomacentrus anabatoides,Silver demoiselle
,390,Neopomacentrus azysron,Yellow-tail demoiselle
,391,Neopomacentrus cyanomos,Regal demoiselle
,392,Neopomacentrus filamentosus,Brown demoiselle
,393,Neopomacentrus nemurus,Coral demoiselle
,394,Neopomacentrus violascens,Violet demoiselle
,395,Novaculichthys taeniourus,"Rockmover wrasse; Dragon wrasse, Masked wrasse; Olive-scribbled wrasse; Reindeer wrasse; Tahiti sand wrasse"
,396,Odonus niger,Redtoothed triggerfish
,397,Ostracion cubicus,Yellow boxfish
,398,Ostracion meleagris,Whitespotted boxfish
,399,Ostracion solorensis,Reticulate boxfish
,400,Oxycheilinus arenatus,Speckled maori wrasse; Arenatus wrasse; Thin-line maori wrasse
,401,Oxycheilinus bimaculatus,"Two-spot wrasse, Comettailed wrasse, Little maori wrasse, Twospot maori wrasse"
,402,Oxycheilinus celebicus,"Celebes wrasse, Celebes maori wrasse, Slender maori, Slender maori wrasse"
,403,Oxycheilinus digramma,"Cheeklined wrasse, Bandcheek wrasse, Cheek-lined Maori wrasse, Cheeklined Maori wrasse"
,404,Oxycheilinus mentalis,Mental wrasse
,405,Oxycheilinus unifasciatus,"Ringtail maori wrasse, Ringtail wrasse, Rosecolored wrasse, Tail-band maori wrasse, Whiteband maori wrasse"
,406,Paracaesio sordida,"Dirty ordure snapper, Smallscale Snapper, Fusilier Snapper, Blue Snapper"
,407,Paracaesio xanthura,"Yellowtail blue snapper, Yellowback Fusilier, Pedley's Fusilier, Southern Fusilier, Gold-backed Fusilier, False Fusilier, Yellowtail Fusilier"
,408,Paracanthurus hepatus,"Palette surgeonfish, ndo-Pacific Bluetang, Dory, Flagtail Surgeonfish, Hepatus Tang, Blue Tang, Blue Surgeonfish, Regal Blue Surgeonfish, Wedgetail Blue Tang, Wedge-tailed Tang"
,409,Paracirrhites arcatus,"Arc-eye hawkfish, Whiteline Hawkfish, Ring-eye Hawkfish , Horseshoe Hawkfish"
,410,Paracirrhites forsteri,"Blackside hawkfish, Freckled Hawkfish, Forster's Hawkfish"
,411,Paracirrhites hemistictus,"Whitespot hawkfish, Halfspotted Hawkfish , Ornate Hawkfish"
,412,Paraluteres prionurus,"False Puffer, Mimic Filefish, Blacksaddle Mimic, Black-saddled Leatherjacket, Blacksaddle Filefish , Mimic Leatherjacket"
,413,Parapercis clathrata,Latticed sandperch
,414,Parapercis cylindrica,"Cylindrical sandperch, Sharpnose sandperch"
,415,Parapercis hexophtalma,Speckled sandperch
,416,Parapercis millepunctata,Black dotted sand perch
,417,Parapercis tetracantha,"Reticulated sandperch, Black-banded sandperch"
,418,Parupeneus barberinoides,"Bicolor goatfish, Half-and-half goatfish, Goatfish, Swarthy-headed goatfish"
,419,Parupeneus barberinus,"Dash-and-dot goatfish, Spotted golden goatfish, Dot-and-dash goatfish, Goatfish, Half and half goatfish, Dash-dot goatfish"
,420,Parupeneus cyclostomus,"Goldsaddle goatfish, Red mullet, Bright goatfish, Bright-saddled goatfish, Goatfish, Golden spotted goatfish, Gold-saddled goatfish, Blue goatfish, Blue kumu, Surmullet, Yellow goatfish, Yellow saddle goatfish"
,421,Parupeneus indicus,"Indian goatfish, Yellowspot goatfish, Goatfish"
,422,Parupeneus macronemus,"Longbarbel goatfish, Long-barbeled goatfish, Band-dot goatfish, Dot and dash goatfish"
,423,Parupeneus multifasciatus,"Banded Goatfish, Multibar Goatfish, Manybar Goatfish, Multibarred Goatfish"
,424,Parupeneus pleurostigma,"Sidespot goatfish, Spotted goatfish, Round-spot goatfish, Sidedpot goatfish, Blackspot goatfish, Goatfish, Whitespot goatfish"
,425,Parupeneus trifasciatus,Doublebar goatfish
,426,Pempheris vanicolensis,Vanikoro sweeper
,427,Pentapodus bifasciatus,White-shouldered whiptail
,428,Pentapodus caninus,"Small-toothed whiptail, Redfin Mid-water Bream, Canine-toothed Mid-water Bream , Big-tailed Besugo , Threadfin Whiptail"
,429,Pentapodus emeryii,"Blue Whiptail, Purple Threadfin-bream, Double Whiptail, Whip-tailed Threadfin-bream"
,430,Pervagor janthinosoma,"Blackbar filefish, Ear-spot Filefish"
,431,Plagiotremus laudandus,"Bicolour Fangblenny, Poison-fang Blenny Mimic, Yellow-tailed Blenny"
,432,Plagiotremus rhinorhynchos,"Bluestriped fangblenny, Cleaner Mimic, Bluestriped Blenny, Tube-worm Blenny"
,433,Plagiotremus tapeinosoma,"Piano fangblenny, Hit and Run Blenny, Mimic Blenny, Scale-eating Fangblenny"
,434,Platax orbicularis,Orbicular batfish
,435,Platax teira,Longfin batfish
,436,Plectorhinchus albovittatus,Two-striped sweetlips
,437,Plectorhinchus chaetodonoides,Harlequin sweetlips
,438,Plectorhinchus chrysotaenia,Yellow-striped sweetlips
,439,Plectorhinchus diagrammus,Striped sweetlips
,440,Plectorhinchus flavomaculatus,"Lemon sweetlip, Goldspot sweetlip"
,441,Plectorhinchus gibbosus,"Brown Sweetlips, Silver Grunt, Silver Javelin"
,442,Plectorhinchus lessonii,"Lesson's thicklip, Lined sweetlips"
,443,Plectorhinchus lineatus,Yellowbanded sweetlips
,444,Plectorhinchus picus,Painted sweetlip
,445,Plectroglyphidodon dickii,Blackbar devil
,446,Plectroglyphidodon johnstonianus,Johnston Island damsel
,447,Plectroglyphidodon lacrymatus,Whitespotted devil
,448,Plectroglyphidodon leucozonus,Singlebar devil
,449,Plectroglyphidodon phoenixensis,Phoenix devil
,450,Plectropomus areolatus,"Polkadot Cod, Spotted Coral Trout, Squaretail Coralgrouper, Square-tail Coral Trout, Squaretail Coral Trout, Squaretail Grouper, Squaretail Leopardgrouper"
,451,Plectropomus laevis,Blacksaddled coralgrouper
,452,Plectropomus leopardus,"Leopard coralgrouper, Leopard Coral Trout, Coral Trout"
,453,Plectropomus maculatus,Spotted coralgrouper
,454,Plectropomus oligacanthus,"Highfin Coral Grouper, Vermicular Coralgrouper, Blue-lined Coralgrouper, Blue-lined Coral Trout, Vermiculate Coral Trout"
,455,Plectropomus pessuliferus,"Roving coralgrouper, Violet Coral Trout, Leopard Grouper"
,456,Plectrypops lima,"Shy soldier, Cardinal Soldierfish, Rough Scale Soldierfish , Shy Soldierfish"
,457,Plotosus lineatus,Striped eel catfish
,458,Pomacanthus imperator,Emperor angelfish
,459,Pomacanthus navarchus,"Bluegirdled angelfish, Blue Girdled Angelfish, Blue Girdled Angel, Blue-girdled Angelfish, Majestic Angelfish, Young Blue Girdled Angel"
,460,Pomacanthus sexstriatus,"Sixbar angelfish, Bluestone kambingan, Six-banded Angelfish, Sixband Angelfish, Six Barred Angel"
,461,Pomacanthus xanthometopon,"Yellowface angelfish, Blue-face Angelfish, Blue-faced Angelfish, Bluefaced Angelfish, Blueface Angelfish, Yellow-faced Angelfish, Yellowmask Angelfish"
,462,Pomacentrus alexanderae,Alexander's damsel
,463,Pomacentrus amboinensis,Ambon damsel
,464,Pomacentrus auriventris,Goldbelly damsel
,465,Pomacentrus bankanensis,Speckled damselfish
,466,Pomacentrus brachialis,Charcoal damsel
,467,Pomacentrus burroughi,Burrough's damsel
,468,Pomacentrus caeruleus,Caerulean damsel
,469,Pomacentrus chrysurus,Whitetail damsel
,470,Pomacentrus coelestis,Neon damselfish
,471,Pomacentrus grammorhynchus,Bluespot damsel
,472,Pomacentrus lepidogenys,Scaly damsel
,473,Pomacentrus moluccensis,Lemon damsel
,474,Pomacentrus nagasakiensis,Nagasaki damsel
,475,Pomacentrus nigromarginatus,Blackmargined damsel
,476,Pomacentrus philippinus,Philippine damsel
,477,Pomacentrus reidi,Reid's damsel
,478,Pomacentrus smithi,Smith's damsel
,479,Pomacentrus stigma,Blackspot damsel
,480,Pomacentrus tripunctatus,Threespot damsel
,481,Pomacentrus vaiuli,Ocellate damselfish
,482,Pomacentrus wardi,Ward's damsel
,483,Pomachromis richardsoni,Richardson's reef-damsel
,484,Priacanthus blochii,Paeony bulleye
,485,Priacanthus hamrur,Moontail bullseye
,486,Pseudanthias bicolor,Bicolor anthias
,487,Pseudanthias bimaculatus,Two-spot basslet
,488,Pseudanthias dispar,"Peach fairy basslet, Peach anthias, Orange anthias, Fairy basslet, Redfin anthias"
,489,Pseudanthias huchtii,"Red-cheeked fairy basslet, Red-cheeked anthias, Pacific basslet, Hucht's sea perch, Hucht's fairy basslet, Threadfin anthias"
,490,Pseudanthias hypselosoma,"Stocky anthias, Pink seaperch, Pink basslet"
,491,Pseudanthias lori,Lori's anthias
,492,Pseudanthias luzonensis,Yellowlined anthias
,493,Pseudanthias parvirostris,"Sunset anthias,Short-snout basslet"
,494,Pseudanthias pascalus,"Amethyst anthias, Sailfin basslet, Purple queen, Sailfin queen"
,495,Pseudanthias pleurotaenia,Square-spot fairy basslet
,496,Pseudanthias randalli,Randall's fairy basslet
,497,Pseudanthias smithvanizi,Princess anthias
,498,Pseudanthias squamipinnis,Sea goldie
,499,Pseudanthias tuka,"Yellowstriped fairy basslet, ellowstriped anthias, Purple queenfish, Purple queen, Purple anthias"
,500,Pseudobalistes flavimarginatus,Yellowmargin triggerfish
,501,Pseudobalistes fuscus,Yellow-spotted triggerfish
,502,Pseudocheilinus evanidus,"Disappearing wrasse, Pin-striped wrasse, Scarlet wrasse, Striated wrasse"
,503,Pseudocheilinus hexataenia,Sixline wrasse
,504,Pseudocheilinus octotaenia,Eight-lined wrasse
,505,Pseudochromis bitaeniatus,Double-striped dottyback
,506,Pseudochromis cyanotaenia,"Surge dottyback, Bluebarred Dottyback"
,507,Pseudodax moluccanus,Chiseltooth wrasse
,508,Pseudolabrus guentheri,Günther's wrasse
,509,Pteragogus flagellifer,"Cocktail wrasse, Flagfin wrasse"
,510,Ptereleotris evides,"Blackfin dartfish, Spottail Gudgeon , Sailfin Hovergoby, Scissortail Dartfish, Arrow Goby, Twotone Dartfish"
,511,Ptereleotris heteroptera,"Blacktail goby, Spot-tail Dartfish, Pale Gudgeon , Indigo Dartfish , Spot-tail Hovergoby , Tail-spot Dart-goby"
,512,Pterocaesio lativittata,Wide-band fusilier Yellowstreak Fusilier
,513,Pterocaesio marri,"Marr's fusilier, Twinstripe Fusilier, Big-tail Fusilier, Black-tipped Fusilier"
,514,Pterocaesio pisang,"Banana fusilier, Ruddy Fusilier, Bleeker's Fusilier, Bananafish"
,515,Pterocaesio randalli,Randall's fusilier
,516,Pterocaesio tessellata,"One-stripe fusilier, Fusilier, Pin-stripe Fusilier , Mosaic Fusilie"
,517,Pterocaesio tile,"Dark-banded fusilier, Blue-dash Fusilier, Neon Fusilier, Bluestreak Fusilier"
,518,Pterocaesio trilineata,"Three-stripe fusilier, Striped Fusilier, Three-lined Fusilier"
,519,Pterois antennata,"Broadbared Lionfish, Rough-scaled Firefish, Broadbarred Firefish, Ragged-finned Firefish, Ragged-finned Scorpionfish, Banded Lionfish, Spotfin Lionfish"
,520,Pterois russelii,"Plaintail turkeyfish, Russell's Lionfish , Russell's Firefish, Plaintail Firefish , Spotless Firefish"
,521,Pterois volitans,"Red lionfish, Scorpion Volitans, Ornate Butterfly-cod, Peacock Lionfish, Red Firefish, Common Lionfish, Scorpion-cod, Featherfins, Turkeyfish, Zebrafish"
,522,Pygoplites diacanthus,"Royal angelfish, Regal Angelfish pasific, Empress Angelfish, Regal Angelfish, Bluebanded Angelfish, Angelfish, Royal Empress Angel, Royal Empress Angelfish"
,523,Rhinecanthus aculeatus,Blackbar triggerfish
,524,Sargocentron caudimaculatum,"Silverspot squirrelfish, Tail-spot Squirrelfish, White-tail Squirrelfish , Fanfin Soldier"
,525,Sargocentron cornutum,"Threespot squirrelfish, Tail-spot Squirrelfish, Red-striped Squirrelfish , Horned Squirrelfish"
,526,Sargocentron diadema,"Crown squirrelfish, Nannygai, Red Squirrelfish, Crowned Squirrelfish"
,527,Sargocentron ittodai,Samurai squirrelfish
,528,Sargocentron melanospilos,"Blackblotch squirrelfish, Blackspot Squirrelfish"
,529,Sargocentron microstoma,"Smallmouth squirrelfish, Slender Squirrelfish, Silver Squirrelfish, Fine-lined Squirrelfish"
,530,Sargocentron praslin,"Dark-striped squirrelfish, Port Praslin Squirrelfish, Brownspot Squirrelfish"
,531,Sargocentron spiniferum,"Sabre squirrelfish, Giant Squirrelfish , Spinecheek Squirrelfish, Spiny Squirrelfish , Long-jawed Squirrelfish"
,532,Sargocentron tiere,"Blue lined squirrelfish, Ruby Squirrelfish, Red Squirrelfish, Bluestripe Squirrelfish , Tahitian Squirrelfish"
,533,Sargocentron tiereoides,"Pink squirrelfish, Pink-spotted Squirrelfish"
,534,Sargocentron violaceum,"Violet squirrelfish, Red-faced Squirrelfish , White-edged Squirrelfish"
,535,Saurida gracilis,"Gracile lizardfish, Slender Lizardfish , Blotchy Lizardfish, Gracile Saury , Slender Grinner, Graceful Lizardfish, Slender Saur"
,536,Scarus altipinnis,"Filament-finned parrotfish, Highfinned Parrotfish, Minifin Parrotfish"
,537,Scarus chameleon,Chameleon parrotfish
,538,Scarus dimidiatus,"Yellowbarred parrotfish, Turquoise-capped Parrotfish, Saddled Parrotfish, Blue-bridle Parrotfish"
,539,Scarus dubius,Regal parrot
,540,Scarus ferrugineus,Rusty parrotfish
,541,Scarus festivus,Festive parrotfish
,542,Scarus flavipectoralis,Yellowfin parrotfish
,543,Scarus forsteni,"Forsten's parrotfish, Rainbow Parrotfish, Princess Parrotfish, Big belly Parrotfish, Tricolor Parrotfish, Whitespot Parrotfish"
,544,Scarus frenatus,"Bridled parrotfish, Vermiculate Parrotfish, Six-banded Parrotfish"
,545,Scarus ghobban,"Blue-barred parrotfish, Blue Trim Parrotfish, Cream Parrotfish, Globe-headed Parrotfish, Green Blotched Parrotfish, Yellow Scale Parrotfish, Bluechin Parrotfish"
,546,Scarus globiceps,"Globehead parrotfish, Violet-lined Parrotfish, Speckled Parrotfish, Roundhead Parrotfish"
,547,Scarus hypselopterus,"Yellow-tail parrotfish, Java Parrotfish, East-Indies Parrotfish"
,548,Scarus niger,"Dusky parrotfish, Swarthy Parrotfish, Black Parrotfish"
,549,Scarus oviceps,"Dark capped parrotfish, Blue Parrotfish, Yellow-barred Parrotfish, Egghead Parrotfish"
,550,Scarus prasiognathos,Singapore parrotfish
,551,Scarus psittacus,Common parrotfish
,552,Scarus quoyi,Quoy's parrotfish
,553,Scarus rivulatus,Rivulated parrotfish
,554,Scarus rubroviolaceus,Ember parrotfish
,555,Scarus russelii,Eclipse parrotfish
,556,Scarus scaber,Fivesaddle parrotfish
,557,Scarus schlegeli,Yellowband parrotfish
,558,Scarus spinus,Greensnout parrotfish
,559,Scarus tricolor,Tricolour parrotfish
,560,Scolopsis bilineata,Two-lined monocle bream
,561,Scolopsis ciliata,Saw-jawed monocle bream
,562,Scolopsis frenata,Bridled monocle bream
,563,Scolopsis lineata,Striped monocle bream
,564,Scolopsis margaritifera,Pearly monocle bream
,565,Scolopsis trilineata,Three-lined monocle bream
,566,Scorpaenopsis diabolus,False stonefish
,567,Scorpaenopsis oxycephala,Tassled scorpionfish
,568,Seriola lalandi,Yellowtail amberjack
,569,Siganus argenteus,"Streamlined spinefoot, Forktail Rabbitfish"
,570,Siganus corallinus,Blue-spotted spinefoot. Coral Rabbitfish
,571,Siganus doliatus,Barred spinefoot
,572,Siganus javus,"Streaked spinefoot, Java Rabbitfish"
,573,Siganus puellus,"Masked spinefoot, Masked Rabbitfish"
,574,Siganus punctatissimus,"Peppered spinefoot, Fine-spotted Rabbitfish"
,575,Siganus punctatus,Goldspotted spinefoot
,576,Siganus rivulatus,"Marbled spinefoot, Rivulated rabbitfish"
,577,Siganus stellatus,"Brown-spotted spinefoot, Stellate rabbitfish, Starspotted rabbitfish"
,578,Siganus vulpinus,Foxface Rabbitfish
,579,Sphyraena barracuda,Great barracuda
,580,Sphyraena jello,Pickhandle barracuda 
,581,Sphyraena qenie,Blackfin barracuda
,582,Stegastes altus,Japanese gregory
,583,Stegastes aureus,Golden gregory
,584,Stegastes lividus,Blunt snout gregory 
,585,Stethojulis balteata,Belted wrasse
,586,Stethojulis bandanensis,Red shoulder wrasse
,587,Stethojulis strigiventer,Three-ribbon wrasse
,588,Stethojulis trilineata,Three-lined rainbowfish
,589,Strongylura incisa,Reef needlefish
,590,Sufflamen bursa,Boomerang triggerfish
,591,Sufflamen chrysopterum,Halfmoon triggerfish
,592,Sufflamen fraenatum,Masked triggerfish
,593,Symphorus nematophorus,Chinamanfish 
,594,Synodus variegatus,Variegated lizardfish
,595,Thalassoma amblycephalum,Bluntheaded wrasse
,596,Thalassoma hardwicke,Sixbar wrasse
,597,Thalassoma jansenii,Jansen's wrasse
,598,Thalassoma lunare,Moon wrasse 
,599,Thalassoma lutescens,Yellow-brown wrasse
,600,Thalassoma purpureum,Surge wrasse
,601,Thalassoma quinquevittatum,Fivestripe wrasse
,602,Thalassoma trilobatum,Christmas wrasse
,603,Upeneus moluccensis,Goldband goatfish
,604,Valenciennea randalli,Greenband goby
,605,Valenciennea strigata,Blueband goby
,606,Variola louti,Yellow-edged lyretail
,607,Wetmorella nigropinnata,Sharpnose wrasse
,608,Xanthichthys auromarginatus,Gilded triggerfish
,609,Zanclus cornutus,Moorish idol 
,610,Zebrasoma flavescens,Yellow tang
,611,Zebrasoma scopas,"Twotone tang, Bluish Tang"
,612,Zebrasoma veliferum,Sailfin tang
,613,Acanthurus leucopareius,Whitebar surgeonfish     
,614,Cantherhines pardalis,Honeycomb filefish     
,615,Chaetodon decussatus,Indian vagabond butterflyfish     
,616,Chaetodon mesoleucos,White-face butterflyfish     
,617,Macropharyngodon meleagris,Blackspotted wrasse     
,618,Macropharyngodon negrosensis,Yellowspotted wrasse
,619,Naso tuberosus,Humpnose unicornfish
,620,Plagiotremus laudandus,Bicolour fangblenny
,621,Pomacentrus indicus,Indian damsel
,622,Acanthurus dussumieri,Eyestripe surgeonfish
,623,Amblycirrhitus bimacula,Twospot hawkfish
,624,Amblyeleotris guttata,Spotted prawn-goby
,625,Amblyeleotris periophthalma,Periophthalma prawn-goby
,626,Amblyeleotris wheeleri,Gorgeous prawn-goby
,627,Amphiprion sandaracinos,Yellow clownfish
,628,Nectamia bandanensis,Bigeye cardinalfish
,629,Pristiapogon fraenatus,Bridled cardinalfish
,630,Ostorhinchus hartzfeldii,Hartzfeld's cardinalfish
,631,Ostorhinchus nigrofasciatus,Blackstripe cardinafish
,632,Pristicon trimaculatus,Three-spot cardinalfish
,633,Arothron caeruleopunctatus,Blue-spotted puffer
,634,Arothron mappa,Map puffer
,635,Asterropteryx striatus,Striped goby
,636,Bodianus anthioides,Lyretail hogfish
,637,Bryaninops yongei,Whip coral goby
,638,Cantherhines fronticinctus,Speckled filefish
,639,Canthidermis maculatus,Rough triggerfish
,640,Canthigaster ocellicincta,Shy toby
,641,Canthigaster papua,Papuan topy
,642,Carangoides coeruleopinnatus,Coastal trevally
,643,Caranx papuensis,Brassy trevally
,644,Centropyge ferrugatus,Rusty angelfish
,645,Cephalopholis microprion,Freckled hind
,646,Chaetodon flavirostris,Black butterfly
,647,Chaetodon plebeius,Blueblotch butterfly
,648,Chaetodon reticulatus,Mailed butterflyfish
,649,Chaetodon selene,Yellow dotted butterflyfish
,650,Chaetodon triangulum,Triangle butterflyfish
,651,Chaetodon xanthurus,Pearlscale butterflyfish
,652,Chanos chanos,Milkfish
,653,Cheilinus oxycephalus,Snooty wrasse
,654,Cheilodipterus isostigma,Dog-toothed cardinalfish
,655,Chlorurus capistratoides,Indian parrotfish
,656,Chlorurus sordidus,Daisy parrotfish
,657,Chlorurus troschelii,
,658,Chromis  weberi,Weber's Chromis
,659,Chromis alpha,Yellow speckled chromis
,660,Chromis vanderbilti,Vanderbilt's Chromis
,661,Chrysiptera springeri,Springer's demoiselle
,662,Cirrhilabrus ryukyuensis,Blueside wrasse
,663,Cirrhilabrus temminckii,Threadfin wrasse
,664,Cirrhitichthys aprinus,Spotted hawkfish
,665,Cryptocentrus fasciatus,Y-bar shrimp goby
,666,Ctenochaetus tominiensis,Tomini surgeonfish
,667,Ctenogobiops feroculus,Sandy prawn-goby
,668,Dascyllus melanurus,Blacktail humbug
,669,Diodon liturosus,Black-blotched porcupinefish
,670,Dischistodus chrysopoecilus,White-spot damsel
,671,Dischistodus melanotus,Black-vent damsel
,672,Ecsenius dilemma,Twocoat coralblenny
,673,Epibulus brevis,Latent slingjaw wrasse
,674,Epinephelus coioides,Orange-spotted grouper
,675,Epinephelus fasciatus,Blacktip grouper
,676,Epinephelus fuscoguttatus,Brown-marbled grouper
,677,Ecsenius tricolor,Tricolor coralblenny
,678,Eviota ancora,Hookcheek dwarfgoby
,679,Eviota fallax,Twin Dwarfgoby
,680,Eviota guttata,Spotted dwarfgoby
,681,Eviota latifasciata,Brownbanded dwarfgoby
,682,Eviota minuta,Minute dwarfgoby
,683,Eviota nebulosa,Nebulous dwarfgoby
,684,Eviota sebreei,Sebree's dwarfgoby
,685,Eviota shimadai,Shimadai's dwarfgoby
,686,Exallias brevis,Leopard blenny
,687,Fistularia petimba,Red cornetfish
,688,Gnatholepis cauerensis,Eyebar goby
,689,Grammatorcynus bilineatus,Double-lined mackerel
,690,Halichoeres argus,Argus wrasse
,691,Halichoeres leucurus,Greyhead wrasse
,692,Halichoeres nigrescens,Bubblefin wrasse
,693,Heniochus monoceros,Masked bannerfish
,694,Hoplolatilus starcki,Stark's tilefish
,695,Labropsis alleni,Allen's tubelip
,696,Labropsis manabei,Northern tubelip
,697,Lethrinus erythracanthus,Orange-spotted emperor
,698,Lethrinus erythropterus,Longfin emperor
,699,Lethrinus ornatus,Ornate emperor
,700,Lethrinus xanthochilus,Yellowlip emperor
,701,Lutjanus bengalensis,Bengal snapper
,702,Lutjanus boutton,Moluccan snapper
,703,Monotaxis heterodon,Redfin emperor
,704,Myripristis botche,Blacktip soldierfish
,705,Sargocentron caudimaculatum,Silverspot squirrelfish
,706,Myripristis woodsi,Whitespot soldierfish
,707,Neoglyphidodon polyacanthus,Multispine damselfish
,708,Ostorhinchus nanus,Tiny cardinalfish
,709,Ostorhinchus neotes,Mini cardinalfish
,710,Ostorhinchus nigrofasciatus,Blackstripe cardinalfish
,711,Ostorhinchus novemfasciatus,Sevenstriped cardinalfish
,712,Ostorhinchus selas,Meteor cardinalfish
,713,Rhynchostracion nasus,Shortnose boxfish
,714,Oxycheilinus orientalis,Oriental maori wrasse
,715,Oxycirrhites typus,Longnose hawkfish
,716,Paracentropyge multifasciata,Barred angelfish
,717,Parupeneus rubescens,Rosy goatfish
,718,Parupeneus crassilabris,
,719,Pervagor aspricaudus,Orangetail filefish
,720,Platax boersii,Golden spadefish
,721,Platax pinnatus,Dusky batfish
,722,Plectorhinchus vittatus,Indian Ocean oriental sweetlips
,723,Plectroglyphidodon imparipennis,Brighteye damselfish
,724,Pleurosicya micheli,Michel's ghost goby
,725,Pomacanthus semicircularis,Semicircle angelfish
,726,Pomacentrus adelus,Obscure damsel
,727,Pomacentrus armillatus,Bracelet damselfish
,728,Pomacentrus nigromanus,Goldback damsel
,729,Pomacentrus similis,Similar damsel
,730,pomacentrus simsiang,Blueback damsel
,731,Pseudochromis bitaeniatus,Double-striped dottyback
,732,Pseudanthias cooperi,Red-bar anthias
,733,Pseudanthias evansi,Yellowback anthias
,734,Pseudocheilinus tetrataenia,Four-lined wrasse
,735,Pseudocoris yamashiroi,Redspot wrasse
,736,Pseudochromis fuscus,Brown dottyback
,737,Pseudochromis marshallensis,Marshall Is. Dottyback
,738,Pseudocoris aurantiofasciata,Rust-banded wrasse
,739,Pterocaesio chrysozona,Goldband fusilier
,740,Pterocaesio digramma,Double-lined fusilier
,741,Sargocentron rubrum,Redcoat
,742,Scarus xanthopleura,Red parrotfish
,743,Scolopsis affinis,Peters' monocle bream
,744,Scomberoides lysan,Doublespotted queenfish
,745,Scomberomorus commerson,Narrow-barred Spanish mackerel
