0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Platax boersii,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Platax orbicularis,,11,,,11,,,11,,,,,,1,,,,1.0,,,,,,,1.0,,
Platax pinnatus,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Platax teira,,,,,1,,,,1.0,,,,,,1.0,,1,,,,,,,,1.0,,
I  Fistulariidae - Cornetfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fistularia commersonii,,1,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,
Heterocongridae - Garden eels,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heteroconger hassi,,,,,11,,,,,,,,,11,,,,,,,,,,,,,
Heteroconger sp.,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Gobiidae - Gobies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblyeleotris hectori,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Amblygobius phalaena,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Eviota pellucida,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Istigobius rigilus,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Valenciennea randalli,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Valenciennea sexgutata,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Valenciennea strigata,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Haemulidae - Sweetlips,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagramma menalarcum,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Plectorhinchus albovittatus,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Plectorhinchus celebicus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectorhinchus chaetodonoides,,111,1.0,,1111,1.0,,11111,1.0,,11,1.0,,11111,1.0,,1111,1.0,,11.0,1.0,,,,1.0,,
Plectorhinchus gaterinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectorhinchus lessoni,,,,,,,,1,,,,,,11,,,,,,,,,,,,,
Plectorhinchus lineatus,,111,1.0,,1,,,111,1.0,,11,1.0,,111,1.0,,111,1.0,,11.0,,,,,1.0,,
Plectorhinchus obscurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectorhinchus orientalis,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
Plectorhinchus picus,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
Holocentridae - Soldier and Squirrel fishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myripristis adusta,,1,,,11,,,11,,,1,,,11,,,11,,,,,,,,,,
Myripristis berndti,,11,,,,,,11,,,1,,,1,1.0,,,,,,,,,,1.0,,
Myripristis kuntee,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Myripristis murdjan,,111,,,1111,,,11,,,11,,,1111,,,1111,,,11.0,,,1.0,,1.0,,
Myripristis violacea,,1,,,1,,,111,,,1,,,,,,,,,11.0,,,,,,,
Myripristis sp.,,1,,,11,,,1,,,1,,,1,,,1,,,11.0,,,,,,,
Neoniphon argenteus,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Neoniphon opercularis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neoniphron sammara,,,,,,,,111,,,1,,,,,,,,,1.0,,,,,,,
Neoniphron sp.,,1,,,1,,,1,,,1,,,,,,,,,1.0,,,,,,,
Sargocentron caudimaculatum,,111,,,11,,,111,,,11,,,11,,,11,,,11.0,,,,,,,
Sargocentron diadema,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Sargocentron ittodai,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sargocentron spiniferum,,111,,,111,1.0,,1111,,,11,,,111,1.0,,111,1.0,,11.0,,,,,1.0,,
Sargocentron violaceum,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Sargocentron sp.,,1,,,,,,,,,1,,,1,,,1,,,1.0,,,,,,,
I  Kyphosidae - Drummers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyphosus bigibbus,,,,,,,,,1.0,,,,,1,,,,,,,,,,,,,
Kyphosus cinerascens,,11,,,1,,,111,,,1,1.0,,11,,,,1.0,,,,,1.0,,1.0,,
Kyphosus vaigiensis,,1,,,,,,1,,,1,,,1,,,,,,,,,1.0,,1.0,,
Labridae - Wrasses,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anampses geographicus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anampses meleagrides,,,,,1,,,,,,,,,,,,1,1.0,,1.0,,,,,1.0,,
Anampses melanurus,,11,,,,,,11,,,1,,,1,,,11,,,,,,,,,,
Anampses twistii,,111,1.0,,111,,,111,,,,,,111,,,11,,,1.0,,,,,1.0,,
Bodianus axillaris,,1,1.0,,,,,1,,,,,,,,,1,,,,,,,,1.0,,
Bodianus diana,,111,,,111,,,1111,,,111,,,111,,,11111,,,11.0,,,,,,,
Bodianus mesothorax,,1,1.0,,111,,,111,1.0,,1,1.0,,11,,,11,,,11.0,1.0,,,,1.0,,
Cheilinus celebicus,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Cheilinus chlorourus,,1,,,,,,,,,1,,,1,1.0,,11,,,,,,1.0,,1.0,,
Cheilinus fasciatus,,1111,,,11,,,1111,,,,1.0,,11,,,1,,,,,,,,1.0,,
,11.0,,,,,,11.0,,,,,,,,,,,,,,,1.0,,1.0,,,
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,
,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,2004200820122014.0,2018.0,,2000.0,,2018.0,,
Cheilinus undulatus,,1111,1.0,,1,,,1111,1.0,,11111,1.0,,11111,1.0,,1111,1.0,,1.0,,,1.0,,1.0,,
Cheilio inermis,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Choerodon anchorago,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Choerodon fasciatus,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Choerodon oligacanthus,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Cirrhilabrus cyanopleura,,1,,,1111,,,1,,,11,,,11,,,11,,,1.0,,,,,,,
Cirrhilabrus exquisitus,,1,,,1,1.0,,,,,,,,1,1.0,,,1.0,,1.0,,,,,1.0,,
Cirrhilabrus lubbocki,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Coris aygula,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Coris batuensis,,11,,,1,,,1,,,111,,,11,,,,,,11.0,,,1.0,,1.0,,
Coris gaimard,,1111,1.0,,11,,,1,,,111,,,11,,,11,,,11.0,,,,,1.0,,
Coris pictoides,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Coris variegata,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diproctacanthus xanthurus,,1,,,11,1.0,,1,,,,,,,,,,,,,,,,,1.0,,
Epibulus insidiator,,111,,,111,,,111,,,1,,,1111,1.0,,11,,,1.0,,,,,1.0,,
Gomphosus varius,,1111,1.0,,1111,1.0,,1111,,,1111,1.0,,11,1.0,,1111,,,111.0,1.0,,1.0,,1.0,,
Halichoeres argus,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres biocellatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres chrysus,,1111,,,111,,,111,,,11,,,1,,,1111,,,11.0,,,1.0,,1.0,,
Halichoeres hortulanus,,1111,1.0,,111,,,111,,,1111,1.0,,1111,1.0,,1111,,,111.0,1.0,,,,1.0,,
Halichoeres margaritaceus,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,
Halichoeres melanurus,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Halichores nebulosa,,11,,,,,,,,,1,,,,,,11,,,1.0,,,,,,,
Halichoeres prosopeion,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
Halichoeres richmondi,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Halichoeres scapularis,,1,,,11,,,1,,,1,,,11,,,11,,,,,,1.0,,1.0,,
Halichoeres trimaculatus,,,,,1,,,,,,1,,,,,,,,,,,,1.0,,1.0,,
Halichoeres tripunctatus,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Halichoeres sp.,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
Hemigymnus fasciatus,,11,1.0,,1111,,,11,,,11,,,11,1.0,,11,,,11.0,,,,,1.0,,
Hemigymnus melapterus,,111,,,111,1.0,,111,1.0,,1111,,,11,,,111,,,,,,,,1.0,,
Hologymnosus annulatus,,11,,,,,,1,,,,,,,,,,,,1.0,,,,,,,
Hologymnosus doliatus,,1,,,,,,,,,1,,,11,,,11,,,,,,,,,,
Labrichthys unilineatus,,1,,,1111,1.0,,1111,,,11,1.0,,11,,,111,,,11.0,,,,,1.0,,
Labroides alleni,,,1.0,,,,,1,,,1,,,,,,,,,,,,,,1.0,,
Labroides bicolor,,1111,1.0,,11,,,111,,,111,1.0,,111,1.0,,111,,,111.0,,,,,1.0,,
Labroides dimidiatus,,1111,1.0,,1111,1.0,,1111,1.0,,111,,,111,,,1111,,,11.0,,,1.0,,1.0,,
Labroides pectoralis,,1,,,111,1.0,,111,,,1,,,111,1.0,,11,,,1.0,,,,,1.0,,
Labroides sp.,,,,,1,,,11,,,,,,1,,,1,,,1.0,,,,,,,
Leptojulis cyanopleura,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,
Macropharyngodon meleagris,,111,,,11,,,11,,,,,,1,,,1,,,11.0,,,,,,,
Macropharyngodon negrosensis,,11,,,1,,,,,,1,,,1,,,,,,,,,,,,,
Macropharyngodon ornatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novaculichthys taeniorus,,111,,,111,1.0,,1,,,1,,,11,,,111,,,1.0,,,1.0,,1.0,,
Oxycheilinus bimaculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxycheilinus celebicus,,111,,,11,,,11,,,11,,,1,,,11,,,1.0,,,,,,,
Oxycheilinus diagrammus,,1,,,,,,,,,1,,,,,,1,,,,,,1.0,,1.0,,
Oxycheilinus rhodochrous,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Oxycheilinus unifasciatus,,,,,1,,,,,,1,,,11,,,1,,,11.0,,,,,,,
Pseudocheilinus evanidus,,1,,,111,,,1,,,111,,,11,,,11,,,,,,,,,,
Pseudocheilinus hexataenia,,111,,,11,,,11,,,111,,,111,,,111,,,11.0,,,,,,,
Pseudocheilinus octotaenia,,1,,,11,,,1,,,11,,,11,,,111,,,,,,,,,,
Pseudodax mollucanus,,111,,,1,,,11,,,11,,,1,,,1,,,,,,,,,,
Stethojulis bandanensis,,11,1.0,,11,,,,,,1,,,11,,,11,,,1.0,,,,,1.0,,
Stethojulis strigiventer,,1,,,1,,,,,,,,,1,,,,,,,,,1.0,,1.0,,
Stethojulis trilineata,,1,,,,,,,,,,,,1,,,,,,,,,1.0,,1.0,,
Stethojulis sp.,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Thalassoma amblycephalum,,111,1.0,,111,1.0,,111,1.0,,111,1.0,,111,,,111,,,111.0,,,,,1.0,,
Thalassoma hardwicke,,111,,,111,,,1111,,,1111,,,111,,,111,,,11.0,,,1.0,,1.0,,
Thalassoma janseni,,11,,,1,,,,,,11,,,1,,,111,,,1.0,,,1.0,,1.0,,
Thalassoma lunare,,1111,1.0,,1111,1.0,,1111,1.0,,111,1.0,,1111,1.0,,1111,1.0,,111.0,1.0,,1.0,,1.0,,
Thalassoma lutescens,,1,1.0,,1,,,1,,,1,,,1,,,1,,,1.0,,,,,1.0,,
Thalassoma purpureum,,1,,,,,,,,,,,,,,,1,,,1.0,,,1.0,,1.0,,
Thalassoma quinquevittatum,,11,,,,,,,,,1,,,11,,,11,,,1.0,,,,,,,
Wetmorella albofasciata,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,2004200820122014.0,2018.0,,2000.0,,2018.0,,
Xyrichthys pavo,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Leiognathidae - Ponyfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leiognathus equulus,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Lethrinidae - Emperors,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnathodentex aureolineatus,,11,1.0,,111,,,1111,,,11,,,11,1.0,,1,,,11.0,1.0,,,,1.0,,
Lethrinus atkinsoni,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Lethrinus  erythracanthus,,,,,1,,,,,,11,,,11,,,,1.0,,,,,,,1.0,,
Lethrinus erythropterus,,1,,,1,,,1,1.0,,11,,,111,,,,,,,1.0,,,,1.0,,
Lethrinus harak,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Lethrinus microdon,,,1.0,,,,,,,,,1.0,,,1.0,,1,,,,,,,,1.0,,
Lethrinus nebulosus,,,,,1,,,,,,1,,,,,,1,,,,,,1.0,,1.0,,
Lethrinus obsoletus,,1,,,,,,1,1.0,,,,,,1.0,,,,,,,,,,1.0,,
Lethrinus olivaceus,,111,,,11,,,111,,,111,,,11,1.0,,1,,,1.0,,,,,1.0,,
Lethrinus ornatus,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Lethrinus semicinctus,,,,,1,,,1,,,1,,,,,,,,,,,,1.0,,1.0,,
Lethrinus xanthochilus,,11,,,,,,1,,,1,,,11,,,11,,,1.0,,,,,,,
Monotaxis grandoculis,,1111,1.0,,11111,1.0,,1111,1.0,,1111,1.0,,1111,1.0,,1111,1.0,,111.0,1.0,,1.0,,1.0,,
II  Lutjanidae - snappers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphareus furca,,11,1.0,,1111,1.0,,1111,1.0,,111,1.0,,1111,1.0,,1111,1.0,,1.0,1.0,,1.0,,1.0,,
Aprion virescens,,111,,,1,,,1,,,1,,,1,,,1,,,,1.0,,,,1.0,,
Lutjanus argentimaculatus,,,,,,,,11,,,,,,,,,,,,,,,,,,,
Lutjanus biguttatus,,1,1.0,,11,,,,,,1,,,,,,1,,,,,,,,1.0,,
Lutjanus bohar,,111,1.0,,111,1.0,,1111,1.0,,111,1.0,,1111,1.0,,1111,1.0,,1.0,1.0,,,,1.0,,
Lutjanus decussatus,,111,1.0,,1111,1.0,,11,1.0,,111,,,1,1.0,,11,1.0,,,,,1.0,,1.0,,
Lutjanus ehrenbergii,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Lutjanus fulviflamma,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
Lutjanus fulvus,,111,,,111,,,1111,1.0,,11,,,1111,,,1,,,1.0,,,1.0,,1.0,,
Lutjanus gibbus,,111,1.0,,1111,1.0,,111,1.0,,1111,1.0,,1111,1.0,,111,1.0,,11.0,1.0,,,,1.0,,
Lutjanus kasmira,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,
Lutjanus lutjanus,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Lutjanus monostigma,,11,,,111,,,111,1.0,,11,1.0,,11,1.0,,1111,,,,,,1.0,,1.0,,
Lutjanus rivulatus,,11,,,,,,11,,,1,,,11,,,,,,,1.0,,1.0,,1.0,,
Lutjanus russelli,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Lutjanus semicinctus,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Macolor macularis,,1111,1.0,,1111,1.0,,1111,1.0,,111,1.0,,11111,1.0,,11111,1.0,,111.0,1.0,,,,1.0,,
Macolor niger,,11,,,11,1.0,,11,1.0,,1,1.0,,1,1.0,,1,1.0,,,1.0,,,,1.0,,
Paracaesio sordidus,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Symphorichthys spilurus,,1,,,,,,,,,,,,1,,,11,,,,,,,,,,
Symphorus nematophorus,,,,,1,,,,,,,,,,,,,,,,,,,,,,
III Malacanthidae - Sand tilefishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haplolatilus starcki,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Malacanthus brevirostris,,111,,,,,,1,,,11,,,1,,,1,,,,,,1.0,,1.0,,
Malacanthus latovittatus,,1111,,,111,,,11,,,,,,11,,,,,,,,,1.0,,1.0,,
Microdesmidae - Dartfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemateleotris magnifica,,11,,,11,,,1,,,1,,,,,,11,,,1.0,,,,,,,
Ptereoletris evides,,11,,,,,,1,,,1,,,,,,1,,,1.0,,,,,,,
Ptereoletris heteroptera,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Ptereoletris zebra,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Monacanthidae - Leatherjackets,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluterus scriptus,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,
Amanses scopas,,1,,,1,,,,,,11,,,1,,,1,,,11.0,1.0,,1.0,,1.0,,
Cantherhines dumerilii,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
Cantherhines pardalis,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Oxymonocanthus longirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraluteres prionurus,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,
Pervagor janthinosoma,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Mullidae - Goatfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulloidichthys flavolineatus,,1,,,1,,,,,,1,,,1,,,,,,1.0,,,,,,,
Mulloidichthys vanicolensis,,1,,,,,,,,,,,,1,,,,,,1.0,,,1.0,,1.0,,
Parupeneus barberinoides,,1,1.0,,,,,11,,,1,1.0,,1,,,,,,,,,,,1.0,,
Parupeneus barberinus,,11,,,11,,,11,,,111,1.0,,111,1.0,,1,,,1.0,,,,,1.0,,
Parupeneus bifasciatus,,111,1.0,,1111,,,1111,,,1,,,1,1.0,,11,,,111.0,,,1.0,,1.0,,
Parupeneus cyclostomus,,1111,1.0,,111,,,111,1.0,,11,1.0,,11,,,11,,,,,,,,1.0,,
Parupeneus indicus,,1,,,,,,1,,,11,,,,,,,,,,,,,,,,
Parupeneus multifasciatus,,1111,1.0,,1111,1.0,,1111,1.0,,1111,1.0,,1111,1.0,,111,1.0,,111.0,1.0,,1.0,,1.0,,
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,2004200820122014.0,2018.0,,2000.0,,2018.0,,
Parupeneus pleurostigma,,,,,1,,,1,,,,1.0,,11,,,,,,,,,,,1.0,,
Upeneus tragula,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Muraenidae - Moray eels,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax flavimarginatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax javanicus,,11,,,,,,1,,,,,,1,,,11,,,,,,,,,,
Gymnothorax melanospilus,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Gymnothorax meleagris,,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Nemipteridae - Breams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentapodus bifasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scolopsis bilineatus,,1111,,,11111,1.0,,1111,1.0,,111,1.0,,11,1.0,,111,,,1.0,,,1.0,,1.0,,
Scolopsis lineatus,,11,,,,,,1,,,1,,,,,,,,,,,,,,,,
Scolopsis margaritifer,,,,,11,1.0,,,,,,,,,,,,,,,,,,,1.0,,
Scolopsis monogramma,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Scolopsis trilineatus,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,
Ostraciidae - boxfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostracion cubicus,,11,,,11,,,11,,,,,,1,,,1,,,,,,1.0,,1.0,,
Ostracion meleagris,,1,,,1,,,1,,,1,,,1,,,11,,,,,,1.0,,1.0,,
Ostracion solorensis,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Pempheridae - Sweepers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pempheris oulensis,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Pinguipedidae - sandperches,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clathrata multipunctata,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Clathrata tetracantha,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Parapercis clathrata,,11,,,11,,,1,,,,,,,,,1,,,11.0,,,,,,,
Parapercis cylindrica,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parapercis hexopthalma,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Parapercis millipunctata,,,,,1,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Parapercis sp.,,1,,,,,,,,,,,,,,,,,,,,,,,,,
I Pomacanthidae - Angelfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apomelichthys trimaculatus,,,,,,,,1,,,11,,,11,,,11,,,1.0,,,,,,,
Centropyge bicolor,,1111,1.0,,111,,,11,,,111,,,11,,,1,,,11.0,,,,,1.0,,
Centropyge bispinosus,,,,,1111,,,11,,,1,1.0,,11,,,11,,,1.0,,,,,1.0,,
Centropyge flavicauda,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Centropyge flavissimus,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Centropyge heraldi,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Centropyge multifasciatus,,1,,,1,,,,,,1,,,1,,,,,,1.0,,,,,,,
Centropyge nox,,,,,1,,,,,,,,,,,,,,,1.0,,,,,,,
Centropyge tibicen,,1,1.0,,1,,,11,,,11,,,1,,,111,,,11.0,,,,,1.0,,
